objective,threshold,precision,recall,f1,accuracy,predicted_positive_rate
max_f1,0.43999999999999995,0.8077033733726534,0.952688658569348,0.8742255467396735,0.8012812628126281,0.8550430504305043
max_accuracy,0.49999999999999994,0.81986125960367,0.932483067743167,0.8725531056290975,0.8025317753177532,0.8244977449774498
precision_>=0.85_max_recall,0.6399999999999999,0.8525854291192061,0.8551532033426184,0.8538673857644061,0.7878126281262813,0.7271012710127102
recall_>=0.85_max_precision,0.6399999999999999,0.8525854291192061,0.8551532033426184,0.8538673857644061,0.7878126281262813,0.7271012710127102
