window,n_rows,base_rate,best_iteration,auroc_own_holdout,auroc_forward_2022plus,transfer_gap
2010-2014,48657,0.6585075117660357,307,0.8025585822525096,0.6424817601989332,0.16007682205357643
2015-2017,86272,0.47305035237388726,331,0.8084456141125278,0.7610511316855644,0.047394482426963425
2018-2020,78847,0.6884091975598311,451,0.8550033119395684,0.8147636764048576,0.04023963553471077
2021+,120090,0.7348488633524857,590,0.8650876149515282,0.8922739979897851,-0.027186383038256934
