model,n_features,auroc,ap,brier,logloss,accuracy,fit_time_s
LR baseline (52 tabular),52,0.772878919624721,0.8929670260637536,0.16466779189718467,0.500383886170583,0.7616338663386634,0.5641381740570068
XGBoost (52 tabular),52,0.8264004813050034,0.9177561726953999,0.13945379853248596,0.4345923282080437,0.8025317753177532,2.9296786785125732
XGBoost full minus Trends,596112,0.8691298391308052,0.9380576249166858,0.12305272370576859,0.3901489438762369,0.8267835178351783,909.5175499916077
XGBoost full (596k features),596114,0.8681030569746244,0.9373510806861584,0.12550967931747437,0.3965825422207179,0.8221812218122181,454.77395462989807
